soc_code,s_ij,E_j,E_sub_j,E_aug_j,isco_4digit,mapping_stage,ch_isco_4digit,ch_isco_label,main_group,employed_2022,employed_2024,delta_bfs,is_outlier
17-2011.00,0.3657594112353588,0.0,0.0,0.0,3115,1,3115,"Maschinenbautechniker, Techniker im Bereich Systemtechnik, Automation und Unternehmensprozesse",3,11.019605854272998,11.97433846910366,8.663945221420533,False
17-2041.00,0.3973625991308464,0.0,0.0,0.0,2113,1,2113,Chemiker,2,3.974386962397,2.954676445313163,-25.65705168449016,False
17-2051.00,0.3233626616411829,0.0,0.0,0.0,2142,1,2142,Bauingenieure,2,11.233861333084002,10.017360337809963,-10.828876725506763,False
17-2051.01,0.3036506934123421,0.0,0.0,0.0,2142,1,2142,Bauingenieure,2,11.233861333084002,10.017360337809963,-10.828876725506763,False
17-2051.02,0.34513968211860513,0.0,0.0,0.0,2142,1,2142,Bauingenieure,2,11.233861333084002,10.017360337809963,-10.828876725506763,False
17-2061.00,0.5277934475239644,0.0,0.0,0.0,2152,1,2152,Ingenieure im Bereich Elektronik,2,3.099915272122,3.4648638391465907,11.772856190832965,False
17-2071.00,0.42157742748886773,0.0,0.0,0.0,2151,1,2151,Ingenieure im Bereich Elektrotechnik,2,6.666120611251,7.680384556746472,15.215205434231253,False
17-2072.00,0.4679645208313901,0.0,0.0,0.0,2152,1,2152,Ingenieure im Bereich Elektronik,2,3.099915272122,3.4648638391465907,11.772856190832965,False
17-2072.01,0.36768136544498425,0.0,0.0,0.0,2152,1,2152,Ingenieure im Bereich Elektronik,2,3.099915272122,3.4648638391465907,11.772856190832965,False
17-2111.00,0.2977412125116145,0.0,0.0,0.0,2149,1,2149,"Ingenieure, anderweitig nicht genannt",2,5.215934733249,4.863642360752166,-6.754156071991167,False
17-2111.02,0.303765771603127,0.0,0.0,0.0,2149,1,2149,"Ingenieure, anderweitig nicht genannt",2,5.215934733249,4.863642360752166,-6.754156071991167,False
17-2112.01,0.3976312319970009,0.0,0.0,0.0,2149,1,2149,"Ingenieure, anderweitig nicht genannt",2,5.215934733249,4.863642360752166,-6.754156071991167,False
17-2112.02,0.35951114017895147,0.0,0.0,0.0,2149,1,2149,"Ingenieure, anderweitig nicht genannt",2,5.215934733249,4.863642360752166,-6.754156071991167,False
17-2112.03,0.25029764858532116,0.0,0.0,0.0,2141,1,2141,Prozess- und Produktionsingenieure,2,9.624988998978,9.29664372404815,-3.4113833788767387,False
