ch_isco_4digit,year,quarter,count_ads
2166,2025,1,396.17
2166,2025,2,389.32
2166,2025,3,434.5
2166,2025,4,398.17
2200,2020,1,47.33
2200,2020,2,32.67
2200,2020,3,39.67
2200,2020,4,43.0
2200,2021,1,44.5
2200,2021,2,51.92
2200,2021,3,67.08
2200,2021,4,63.17
2200,2022,1,83.37
2200,2022,2,66.4
2200,2022,3,83.83
2200,2022,4,90.83
2200,2023,1,80.5
2200,2023,2,70.75
2200,2023,3,75.92
2200,2023,4,97.17
2200,2024,1,94.0
2200,2024,2,82.87
2200,2024,3,66.03
2200,2024,4,61.67
2200,2025,1,66.5
2200,2025,2,89.0
2200,2025,3,65.45
2200,2025,4,80.15
2211,2020,1,1486.33
2211,2020,2,1444.75
2211,2020,3,1404.0
2211,2020,4,1458.0
2211,2021,1,1506.82
2211,2021,2,1631.05
2211,2021,3,1716.48
2211,2021,4,1768.17
2211,2022,1,1922.0
2211,2022,2,1746.58
2211,2022,3,1747.33
2211,2022,4,1736.0
2211,2023,1,1890.17
2211,2023,2,1861.0
2211,2023,3,1798.67
2211,2023,4,1697.25
2211,2024,1,1638.33
2211,2024,2,1600.17
2211,2024,3,1614.58
2211,2024,4,1587.0
2211,2025,1,1662.92
2211,2025,2,1639.92
2211,2025,3,1570.75
2211,2025,4,1587.42
2212,2020,1,580.83
2212,2020,2,509.33
2212,2020,3,549.08
2212,2020,4,587.42
2212,2021,1,650.78
2212,2021,2,635.7
2212,2021,3,613.25
2212,2021,4,725.33
2212,2022,1,781.92
2212,2022,2,776.67
2212,2022,3,833.42
2212,2022,4,840.42
2212,2023,1,931.83
2212,2023,2,912.07
2212,2023,3,840.73
2212,2023,4,777.0
2212,2024,1,738.52
2212,2024,2,752.93
2212,2024,3,710.52
2212,2024,4,705.5
2212,2025,1,680.72
2212,2025,2,697.85
2212,2025,3,657.96
2212,2025,4,715.08
2221,2020,1,4492.56
2221,2020,2,4231.45
2221,2020,3,4414.400000000001
2221,2020,4,4386.04
2221,2021,1,4415.65
2221,2021,2,4536.860000000001
2221,2021,3,4966.66
2221,2021,4,5495.0
2221,2022,1,5985.9
2221,2022,2,5788.47
2221,2022,3,5938.6900000000005
2221,2022,4,5974.82
2221,2023,1,6438.18
2221,2023,2,6063.849999999999
2221,2023,3,5849.2699999999995
2221,2023,4,5586.53
2221,2024,1,5645.009999999999
2221,2024,2,5478.99
2221,2024,3,5025.25
2221,2024,4,4918.59
2221,2025,1,5199.81
2221,2025,2,4956.820000000001
2221,2025,3,4891.290000000001
2221,2025,4,5019.78
2222,2020,1,93.67
2222,2020,2,60.67
2222,2020,3,51.67
2222,2020,4,69.58
2222,2021,1,85.92
2222,2021,2,96.33
2222,2021,3,97.0
