soc_code,isco_4digit,main_group,E_j,delta_bfs,is_outlier,employed_2022,employed_2024,qualification_level,sector
11-9071.00,1431,1,0.003153246451433025,-11.966712494310872,False,3.431486778191001,3.0208506211645925,3,Sonstiges
11-9072.00,1431,1,0.0,-11.966712494310872,False,3.431486778191001,3.0208506211645925,3,Sonstiges
11-9081.00,1411,1,0.0,3.197557183372949,False,7.145420438866,7.373899343391159,3,Sonstiges
11-9111.00,1342,1,0.02675317945941449,-16.01140763659569,False,4.720166093993001,3.964401059559405,3,Sonstiges
11-9121.00,1223,1,0.388774915591372,18.02024621863212,False,7.978092085696001,9.415763923087622,3,Sonstiges
11-9121.02,2133,2,0.505916654053596,19.90030126565172,False,3.499424292972,4.195820269836831,4,Sonstiges
11-9141.00,3334,3,0.19116619853269406,-0.0204796856668994,False,24.240044403385003,24.235080118485676,3,Sonstiges
11-9151.00,1344,1,0.0,-11.199433993219786,False,3.260227311051,2.895100305320919,3,Sonstiges
11-9179.01,1431,1,0.0,-11.966712494310872,False,3.431486778191001,3.0208506211645925,3,Sonstiges
11-9179.02,1431,1,0.0,-11.966712494310872,False,3.431486778191001,3.0208506211645925,3,Sonstiges
11-9199.01,2422,2,0.38598060908456017,74.2896888654673,True,2.9147980542490006,5.080192459807278,4,Sonstiges
11-9199.02,2619,2,0.3016079839448348,0.5685905191288955,False,13.337931516611995,13.413769730663356,4,Sonstiges
11-9199.09,2149,2,0.0,-6.754156071991167,False,5.215934733249,4.863642360752166,4,Sonstiges
11-9199.10,1219,1,0.11865813093896305,17.701069218868735,False,11.188193659694004,13.16862356373752,3,Sonstiges
11-9199.11,2143,2,0.3149231829002506,13.176421351911834,False,1.509607549755,1.708519801270991,4,Sonstiges
13-1011.00,2654,2,0.0,15.185684568931537,False,5.632197512363999,6.4874852608908045,4,Sonstiges
13-1023.00,3323,3,0.2606357474563964,1.6052996370863597,False,10.104688062421005,10.266898583215756,3,Sonstiges
13-1031.00,3315,3,0.43926687239036455,-0.8969205988883489,False,3.6551101946799993,3.6223267584318464,3,Sonstiges
13-1032.00,3315,3,0.25854965570595506,-0.8969205988883489,False,3.6551101946799993,3.6223267584318464,3,Sonstiges
13-1041.00,3359,3,0.17533452345484646,-25.409431210417218,False,1.1952449879130005,0.8915400349132869,3,Sonstiges
13-1041.03,2422,2,0.34202759734608423,74.2896888654673,True,2.9147980542490006,5.080192459807278,4,Sonstiges
13-1041.04,3112,3,0.2156063370136833,1.1121365671922114,False,38.516833221537,38.94519300831815,3,Sonstiges
13-1041.07,2619,2,0.3358894404571738,0.5685905191288955,False,13.337931516611995,13.413769730663356,4,Sonstiges
13-1051.00,2421,2,0.5856956703394058,8.184937686697829,False,23.15272405713,25.047760093979186,4,Sonstiges
13-1071.00,2423,2,0.18687209634892984,25.365483554832863,False,22.044454867828005,27.63613744207947,4,Sonstiges
13-1074.00,3333,3,0.0,-0.7813223426707291,False,1.4332020387599995,1.4220041110155557,3,Sonstiges
13-1081.01,1324,1,0.7205178697346456,11.483540430488349,False,18.928098152166,21.1017139561925,3,Sonstiges
13-1111.00,2422,2,0.47414402293202107,74.2896888654673,True,2.9147980542490006,5.080192459807278,4,Sonstiges
13-1121.00,3332,3,0.0,24.93449883945564,False,4.823599589778,6.026339973511182,3,Sonstiges
13-1131.00,2432,2,0.16546516730782568,-3.069907631481635,False,5.166502693133,5.007895832675806,4,Sonstiges
13-1161.01,2431,2,0.6120915669286863,-0.0256149895060899,False,43.93795628549201,43.92670158260029,4,Sonstiges
13-1199.04,2529,2,0.36545454439935326,35.24486869134368,False,4.8492228385630005,6.558325060565179,4,Sonstiges
13-1199.06,2431,2,0.4397902967876926,-0.0256149895060899,False,43.93795628549201,43.92670158260029,4,Sonstiges
13-1199.07,2529,2,0.22719712299650008,35.24486869134368,False,4.8492228385630005,6.558325060565179,4,Sonstiges
13-2022.00,3315,3,0.6422411189897825,-0.8969205988883489,False,3.6551101946799993,3.6223267584318464,3,Sonstiges
13-2031.00,2411,2,0.687346140566934,6.285684043086613,False,30.91757631977699,32.86095748101834,4,Sonstiges
13-2041.00,3312,3,0.608140333500386,9.143676434404602,False,1.933962219203,2.110797466890553,3,Sonstiges
13-2052.00,2412,2,0.5921199653208191,4.628597310126321,False,19.897725421554,20.81871100519237,4,Sonstiges
13-2061.00,2411,2,0.36258473329061397,6.285684043086613,False,30.91757631977699,32.86095748101834,4,Sonstiges
13-2071.00,3312,3,0.43752113187876757,9.143676434404602,False,1.933962219203,2.110797466890553,3,Sonstiges
13-2072.00,3312,3,0.43790060152768173,9.143676434404602,False,1.933962219203,2.110797466890553,3,Sonstiges
13-2081.00,2411,2,0.35759029650103097,6.285684043086613,False,30.91757631977699,32.86095748101834,4,Sonstiges
13-2082.00,2411,2,0.557960893716492,6.285684043086613,False,30.91757631977699,32.86095748101834,4,Sonstiges
13-2099.01,2413,2,0.6726124735648505,6.768932325852428,False,11.92703184398,12.734364557981875,4,Sonstiges
15-1211.00,2511,2,0.5973764895637641,8.102901968455852,False,29.740223548839005,32.15004470820105,4,Sonstiges
15-1211.01,3252,3,0.6060123915130585,-2.470545011933432,False,0.707328782249,0.6898539063011778,3,Sonstiges
15-1212.00,2529,2,0.6941275067874136,35.24486869134368,False,4.8492228385630005,6.558325060565179,4,Sonstiges
15-1231.00,2522,2,0.3785516184236683,-10.67851919484203,False,7.8538938488240015,7.015214286634813,4,Sonstiges
15-1232.00,3512,3,0.41359376623568694,1.1485353049634035,False,13.888323471840003,14.047835770181605,3,Sonstiges
15-1241.00,2523,2,0.6839177845305803,15.853882091592324,False,2.810723149023,3.2563318829901973,4,Sonstiges
15-1241.01,2153,2,0.44551773163677233,-30.471247784049645,True,1.651368126398,1.1481756527764473,4,Sonstiges
15-1242.00,2521,2,0.8417745183913997,31.35878800654129,False,4.259532754658,5.595270601260391,4,Sonstiges
15-1243.00,2521,2,0.7548473652825038,31.35878800654129,False,4.259532754658,5.595270601260391,4,Sonstiges
15-1251.00,2514,2,0.8561411518755873,9.495022464225034,False,12.634662618871998,13.834326672812937,4,Sonstiges
15-1252.00,2512,2,0.6802975871903346,4.756903336283109,False,68.19933209303699,71.44350839669346,4,Sonstiges
15-1253.00,2519,2,0.6780644185604101,8.947371261626799,False,2.6580083804119994,2.8958302583726145,4,Sonstiges
15-1254.00,2513,2,0.6894896384263604,-6.10848869084292,False,5.302707827998,4.9787925200163,4,Sonstiges
15-1255.01,2166,2,0.533412745530791,10.20017076159689,False,12.445369746459,13.714818712509937,4,Sonstiges
15-1299.01,2521,2,0.6604501872070505,31.35878800654129,False,4.259532754658,5.595270601260391,4,Sonstiges
