ch_isco_4digit,E_j_mean,E_sub_mean,E_aug_mean,main_group,n_onet_berufe,periode,delta_bfs,post_ki
3254,0.15563860129310228,0.13442583842963896,0.1862812714529963,3,3,2022_2023,-17.303730825855084,1
3255,0.07801970086289196,0.06649316446376867,0.09473396814138169,3,3,2022_2023,-6.931877688058574,1
3256,0.11777428304291773,0.10535482282363184,0.13545538313544017,3,2,2022_2023,3.352920978412098,1
3257,0.22927808859856022,0.2006780403886429,0.2704028647878183,3,2,2022_2023,26.425354225367357,1
3258,0.00613883740600005,0.0052132079776016525,0.007482293924182485,3,2,2022_2023,2.516982104446687,1
3259,0.1287622963355375,0.11272683087379014,0.15181807187481175,3,6,2022_2023,-31.093806364223408,1
3311,0.3652221930922508,0.33730452369147057,0.40398994905205693,3,2,2022_2023,-11.621155309020091,1
3312,0.39066535372503847,0.36780697929658074,0.42151608593904083,3,6,2022_2023,43.42507701335222,1
3313,0.46044686453367106,0.46309823756997015,0.4519479468202895,3,2,2022_2023,3.611478948379296,1
3315,0.43672424063098303,0.42873251930348233,0.44459020426353624,3,4,2022_2023,-4.779977162722417,1
3321,0.43372293626279373,0.40601477624522003,0.4715066549783726,3,3,2022_2023,0.4771774816313762,1
3323,0.19029892003078216,0.1669756415108803,0.22380375719438095,3,3,2022_2023,6.566323573075147,1
3324,0.15367236377498789,0.143447928500438,0.1676767310834312,3,1,2022_2023,4.022054835985699,1
3331,0.21582229374477332,0.18874781255135514,0.2547653416944867,3,2,2022_2023,-18.886746201675063,1
3332,0.0,0.0,0.0,3,1,2022_2023,32.54455041991588,1
3333,0.0,0.0,0.0,3,1,2022_2023,6.9878831957440335,1
3334,0.19116619853269406,0.16164783500164046,0.2340538550361737,3,1,2022_2023,1.62969994034841,1
3339,0.0,0.0,0.0,3,1,2022_2023,-6.520632241458614,1
3341,0.1933376564665203,0.19096625547359805,0.19505154718527212,3,2,2022_2023,0.0555048133222741,1
3343,0.11431383175412627,0.10248804392060089,0.13112863806830857,3,2,2022_2023,2.156788364924032,1
3344,0.255787574384714,0.2465765769595648,0.26726218055076095,3,1,2022_2023,5.642029972819889,1
3351,0.09650807474989899,0.08811927526077115,0.10828591024541667,3,2,2022_2023,-3.088796577666984,1
3355,0.13331665412514057,0.11966534884614839,0.15271392317587082,3,5,2022_2023,88.99635405882901,1
3359,0.1603392697470123,0.14885384767937737,0.17619033118042982,3,6,2022_2023,-24.21017948000018,1
3411,0.3023272700940374,0.28353882633087024,0.3278677439322171,3,6,2022_2023,5.7024166743627696,1
3412,0.0,0.0,0.0,3,2,2022_2023,5.380188525968465,1
3421,0.0,0.0,0.0,3,1,2022_2023,24.35910083956029,1
3422,0.0,0.0,0.0,3,4,2022_2023,-6.145738603182049,1
3423,0.007257875401940906,0.0061400623053429505,0.008881780081220635,3,4,2022_2023,-6.371730166449548,1
3431,0.0415376547060208,0.03298776310124908,0.05409449539887193,3,2,2022_2023,-4.313991352206563,1
3432,0.17462574206982837,0.14923919582883707,0.21141081224253852,3,1,2022_2023,-12.43310008754848,1
3433,0.00379730736533494,0.003120388843619879,0.004786518433534618,3,1,2022_2023,11.211730252250623,1
3434,0.011078929328162464,0.008788872765727472,0.014442687336211154,3,3,2022_2023,-14.240169859964894,1
3435,0.0,0.0,0.0,3,2,2022_2023,0.9351250929882194,1
3512,0.20679688311784347,0.18637115213886662,0.2357487610421401,3,2,2022_2023,-3.3938102714433,1
3521,0.09487820772602096,0.08356508963322509,0.11110493487885968,3,5,2022_2023,-20.257189513128576,1
1112,0.07745395396712033,0.07044845960517118,0.08732018456867625,1,4,2023_2024,-2.9367761277137814,1
1120,0.1844079761990149,0.151123455729332,0.23307057775135803,1,1,2023_2024,7.495378371620018,1
1211,0.34573013934883406,0.2990595424836297,0.41311548090968886,1,2,2023_2024,-10.740250020755898,1
1212,0.14027751556693638,0.12170732937710331,0.16706369593840606,1,3,2023_2024,-4.881080287383058,1
1219,0.016132314374906174,0.013495448131904387,0.01997264438877462,1,9,2023_2024,0.4112262366387346,1
1221,0.03136879663500022,0.02468706083650605,0.04119259336662147,1,2,2023_2024,7.604152543291197,1
1223,0.43178006605035396,0.37845541917924685,0.508415247015918,1,2,2023_2024,4.4004493382032575,1
1311,0.027369558894973462,0.02210094932856289,0.03509007668370324,1,3,2023_2024,11.727241898381106,1
1321,0.08766827360007595,0.07386624844669047,0.1077381310584235,1,2,2023_2024,-6.5320602509708445,1
1323,0.0,0.0,0.0,1,1,2023_2024,0.2201382163475861,1
1324,0.2570273593718578,0.21832859549578945,0.31319101652553766,1,3,2023_2024,-5.411513331481748,1
1341,0.0,0.0,0.0,1,2,2023_2024,-8.501919984452583,1
1342,0.02675317945941449,0.0214869071540835,0.034476150846762935,1,1,2023_2024,-19.430540777103687,1
1344,0.0,0.0,0.0,1,1,2023_2024,-23.4763952692687,1
1345,0.0,0.0,0.0,1,1,2023_2024,1.7083954892541255,1
1349,0.11861279960653433,0.13035612496119123,0.09965687733037579,1,4,2023_2024,10.017071447774349,1
1411,0.0,0.0,0.0,1,2,2023_2024,0.0542922446419908,1
1412,0.0,0.0,0.0,1,3,2023_2024,-3.514838267818109,1
1420,0.0,0.0,0.0,1,2,2023_2024,22.001191424992168,1
1431,0.021158781906950662,0.020180994205057083,0.02243517851904383,1,10,2023_2024,-8.3813580940043,1
1439,0.027270859342187263,0.02671552318600738,0.027847389092554985,1,4,2023_2024,-8.087794422636042,1
2111,0.7753864574775267,0.7211657581367761,0.8500370667448944,2,2,2023_2024,-6.479778016268406,1
2112,0.6493642871831736,0.621278341367913,0.6856227436007518,2,1,2023_2024,19.926770808674835,1
2113,0.3956271632044005,0.35390863133604267,0.45502012368279404,2,4,2023_2024,-30.229950932334336,1
2114,0.3403000956002167,0.32059645601967807,0.3668584993845172,2,1,2023_2024,-23.157339107604287,1
2120,0.8762042197358174,0.8595865341493228,0.8928707985939375,2,3,2023_2024,-6.511080029932646,1
2131,0.47761478700192167,0.4344826067226493,0.5383530759155163,2,15,2023_2024,-2.465830264415932,1
2132,0.6369811429902775,0.5733838862895023,0.7271924017859097,2,1,2023_2024,2.1631015905675346,1
2133,0.3353922356805041,0.29140161421737837,0.39881552385727764,2,11,2023_2024,13.564796011523558,1
2141,0.3503073300172126,0.30524758820910336,0.4152062121240815,2,2,2023_2024,5.353053431726407,1
2142,0.5741356234427573,0.498647245826338,0.6829842959303233,2,4,2023_2024,-11.072688553054064,1
2143,0.1525131091312654,0.12935570402226557,0.18613411017566103,2,3,2023_2024,1.0896632186965238,1
2144,0.4340289124098309,0.3830356587389717,0.5071080075590491,2,8,2023_2024,-2.546176160225749,1
2145,0.47729282849555166,0.41247298172485375,0.5709110302143539,2,1,2023_2024,8.114595579361314,1
2149,0.5162671748038133,0.45801427590490656,0.5995512269769235,2,11,2023_2024,-6.378362765454846,1
2151,0.6785514706263375,0.6077810571842143,0.7792322314962852,2,1,2023_2024,1.6986832664585465,1
2152,0.6518945286459308,0.5877143808715438,0.742844313024246,2,4,2023_2024,18.786424133837023,1
